algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,42,1,1757874449.1493251,5561.052125063725,5.563069708063267,4.5,0.4,1.4500000000000002,1.35,1.25,1.501534,14.41,16.62,19.39,1.0,1,inf,1.0,init,0,random,,
AL,42,2,1757874455.291326,6141.356125008315,6.144257957930677,5.5,0.3,1.8250000000000002,1.35,1.25,2.143741,3.5,6.17,7.28,1.0,1,inf,1.0,init,0,random,,
AL,42,3,1757874460.835084,5543.867792002857,5.54513774998486,3.5,0.2,2.95,2.725,2.25,0.175713,2.13,2.31,2.8,1.0,1,inf,1.0,init,0,random,,
AL,42,4,1757874466.343315,5506.648332928307,5.509152041980997,3.5,0.4,1.3250000000000002,1.225,0.75,1.227963,28.52,33.36,88.94,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,42,5,1757874472.0191329,5673.768333042972,5.676442375057377,4.0,0.2,1.9500000000000002,1.725,1.625,2.359618,2.83,3.34,3.66,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,42,6,1757874477.528057,5507.961499970406,5.50933658296708,5.0,0.4,0.95,0.85,0.625,1.32983,27.19,33.96,62.75,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,42,7,1757874483.1245482,5593.897833954543,5.596754624973983,5.0,0.4,1.4500000000000002,1.1,1.0,1.501297,11.67,20.28,24.54,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,42,8,1757874488.659154,5533.402249915525,5.534776916960254,3.75,0.3,1.075,0.975,0.75,1.385754,21.24,25.81,43.6,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,42,9,1757874494.152374,5492.0154579449445,5.493346792063676,4.5,0.2,2.825,2.475,2.0,-6.114301,1.73,1.98,2.45,1.0,1,inf,1.0,init,0,random,,
AL,42,10,1757874499.680029,5524.879417032935,5.527707541012205,3.75,0.3,1.2000000000000002,1.1,1.0,1.475787,17.04,20.28,24.54,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,42,11,1757874505.1858659,5504.41387493629,5.505861917044967,4.0,0.4,2.575,2.225,1.75,1.67426,5.67,7.74,12.52,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,42,12,1757874510.663435,5475.344332982786,5.47759112494532,3.75,0.3,1.9500000000000002,1.725,1.375,1.703119,6.38,8.24,12.98,0.20400571851523505,4,0.0,0.0,init,0,random,,
AL,42,13,1757874516.412242,5745.332750026137,5.748775166925043,5.0,0.3,1.2,0.975,0.625,1.579631,9.58,14.52,35.32,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,42,14,1757874521.891134,5477.125208009966,5.478847874910571,5.25,0.2,1.8250000000000002,1.6,1.375,2.060601,2.3,2.62,3.12,0.27200762468698003,3,0.0,0.0,init,0,random,,
AL,42,15,1757874527.415314,5521.163125056773,5.5241327080875635,5.0,0.2,2.075,1.975,1.625,-0.434871,2.12,2.23,2.71,0.4080114370304701,2,0.0,0.0,init,0,random,,
AL,42,16,1757874532.9638531,5546.136750024743,5.548482124926522,3.0,0.3,1.8250000000000002,1.35,1.0,1.395313,11.51,21.04,38.33,0.20400571851523505,4,0.0,0.0,init,0,random,,
AL,42,17,1757874538.5065012,5539.090416976251,5.542577334097587,4.5,0.2,1.2,0.85,0.625,1.982012,5.14,10.48,19.39,0.20400571851523505,4,0.0,0.0,init,0,random,,
AL,42,18,1757874544.8078341,6285.697833052836,6.301238417043351,4.5,0.3,2.95,2.6,2.125,2.363103,2.49,2.83,3.78,0.16320457481218806,5,0.0,0.0,init,0,random,,
