algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,619,32,1757877344.705175,5493.708542082459,5.499505624989979,5.0,0.4,1.45,0.975,0.625,1.39978,11.67,25.81,62.75,0.20400571851523505,4,0.0,0.0,cycle,1,explore,0.34045268284017133,0.05543791396922931
AL,619,33,1757877350.205835,5494.061207980849,5.500513833016157,5.5,0.2,3.075,2.6,2.125,-69.528915,1.3,1.54,1.88,1.0,1,inf,1.0,cycle,1,exploit,1.3001621084536783,0.06196314827366554
AL,619,34,1757877355.740271,5527.477124938741,5.533701917040162,5.5,0.2,3.075,2.725,2.25,-104.187563,1.3,1.47,1.78,1.0,1,inf,1.0,cycle,1,exploit,1.3137635107971632,0.08568558542380741
AL,619,35,1757877361.252508,5503.583749989048,5.5091222079936415,5.5,0.2,3.2,2.725,2.25,-104.45588,1.25,1.47,1.78,1.0,1,inf,1.0,cycle,1,exploit,1.3395608314723482,0.06220862439570813
AL,619,36,1757877369.45033,5544.128790963441,5.591442292090505,3.0,0.4,1.3250000000000002,1.225,1.125,1.210036,38.81,45.39,53.81,0.11657469629442002,7,0.0,0.0,cycle,2,exploit,1.098642278940326,0.0827747049079456
AL,619,37,1757877375.183393,5722.765790997073,5.731560125015676,3.0,0.4,1.4500000000000002,1.225,1.125,1.218279,32.41,45.39,53.81,0.11657469629442002,7,0.0,0.0,cycle,2,exploit,1.0957021626263588,0.07143882768322644
AL,619,38,1757877380.6836228,5493.783292011358,5.499313457985409,3.0,0.4,1.4500000000000002,1.35,1.25,1.241938,32.41,37.39,43.6,0.11657469629442002,7,0.0,0.0,cycle,2,exploit,1.1046430506249891,0.08734792637565507
AL,619,39,1757877386.2105238,5519.305458059534,5.5262004169635475,3.75,0.3,1.4500000000000002,1.1,0.625,1.411645,11.67,20.28,62.75,0.11657469629442002,7,0.0,0.0,cycle,2,explore,0.3964405642928753,0.07049899833835448
AL,619,40,1757877391.768493,5550.528291030787,5.557490207953379,3.75,0.3,2.95,2.475,2.0,2.186259,3.03,3.98,6.03,0.11657469629442002,7,0.0,0.0,cycle,2,explore,0.2711355781719161,0.04584164066549539
AL,619,41,1757877397.2742012,5498.184875003062,5.505327291903086,4.75,0.4,1.2,0.85,0.625,1.331468,18.88,37.62,69.53,0.10200285925761753,8,0.0,0.0,cycle,2,explore,0.2001143251250623,0.11271375462873397
AL,619,42,1757877406.187903,5503.168166964315,5.513443542062305,3.0,0.4,2.075,1.725,1.625,1.368439,15.83,22.91,25.81,0.11657469629442002,7,0.0,0.0,cycle,3,explore,0.4529246465225652,0.04387865869690771
AL,619,43,1757877411.7511911,5553.183333948255,5.563059707987122,3.25,0.2,2.575,2.35,2.25,1.343266,2.63,2.9,3.07,0.11657469629442002,7,0.0,0.0,cycle,3,explore,0.2603284172582684,0.012498747612886553
AL,619,44,1757877417.384214,5623.114958056249,5.632827291032299,4.75,0.2,2.2,1.725,1.625,0.804212,2.11,2.69,2.87,0.16320457481218806,5,0.0,0.0,cycle,3,explore,0.46928411470807535,0.0836572315015251
AL,619,45,1757877422.9092312,5517.016583005898,5.524865083047189,5.5,0.2,1.45,0.975,0.5,2.328142,2.76,5.21,20.28,0.10200285925761753,8,0.0,0.0,cycle,3,exploit,1.2147836999808928,0.15967403231262
AL,619,46,1757877428.42155,5504.300541942939,5.512242749915458,5.5,0.2,1.5750000000000002,1.1,0.625,2.456513,2.54,4.14,12.98,0.11657469629442002,7,0.0,0.0,cycle,3,exploit,1.2228948465371783,0.12508164525007973
AL,619,47,1757877434.0214038,5589.812959078699,5.599730291985907,5.5,0.2,1.5750000000000002,1.1,0.75,2.553496,2.54,4.14,9.01,0.11657469629442002,7,0.0,0.0,cycle,3,exploit,1.2111950097607185,0.14563593568618538
AL,619,48,1757877442.908427,5522.403749986552,5.543811290990561,3.25,0.3,1.325,0.975,0.625,1.303322,18.61,34.36,83.55,0.11657469629442002,7,0.0,0.0,cycle,4,explore,0.6733068436099413,0.0849475708740073
AL,619,49,1757877448.695314,5776.340083917603,5.786535999970511,3.25,0.3,1.7000000000000002,1.225,0.875,1.402986,11.3,21.77,42.65,0.10200285925761753,8,0.0,0.0,cycle,4,explore,0.8398392047971717,0.07759136229130219
AL,619,50,1757877454.2727711,5569.195750053041,5.577368375030346,4.75,0.4,2.2,1.725,1.5,1.710435,5.5,9.13,12.08,0.10200285925761753,8,0.0,0.0,cycle,4,explore,0.4038124709567166,0.06254742290961508
AL,619,51,1757877459.852573,5566.589666996151,5.579677624977194,5.5,0.2,2.575,2.475,2.25,-101.658518,1.55,1.62,1.78,0.27200762468698003,3,0.0,0.0,cycle,4,exploit,1.1425526293067554,0.11431881494239814
AL,619,52,1757877465.418091,5554.415666963905,5.5653500410262495,5.5,0.3,1.8250000000000002,1.6,1.5,2.354774,3.5,4.38,4.95,0.09066920822899335,9,0.0,0.0,cycle,4,exploit,1.1419502294381958,0.10104709144024024
AL,619,53,1757877471.235978,5805.85554195568,5.8177274169866,5.5,0.3,1.8250000000000002,1.725,1.625,2.380695,3.5,3.83,4.25,0.10200285925761753,8,0.0,0.0,cycle,4,exploit,1.1596478299062458,0.1322602494135559
AL,619,54,1757877483.913575,8065.95674995333,8.091860916931182,3.0,0.2,1.7000000000000002,1.35,1.0,1.712373,5.78,9.35,17.04,0.09066920822899335,9,0.0,0.0,cycle,5,explore,0.32102007394886667,0.083580884969921
AL,619,55,1757877490.090324,6163.736583082937,6.176579958060756,3.25,0.3,2.825,2.6,2.25,2.037691,4.05,4.73,6.38,0.10200285925761753,8,0.0,0.0,cycle,5,explore,0.25559825928265284,0.039469477943883696
AL,619,56,1757877495.835598,5731.063124956563,5.745082624955103,3.75,0.2,1.9500000000000002,1.725,1.25,2.277368,3.07,3.69,6.94,0.10200285925761753,8,0.0,0.0,cycle,5,explore,0.3418377294264486,0.01896519677057869
AL,619,57,1757877501.7018812,5845.073707983829,5.866146250045858,5.0,0.2,3.075,2.6,2.125,-32.874358,1.43,1.69,2.07,0.20400571851523505,4,0.0,0.0,cycle,5,exploit,1.0716370915692741,0.03995577298109243
AL,619,58,1757877508.011055,6284.239957924001,6.309019250096753,5.0,0.2,3.2,2.725,2.25,-51.895161,1.37,1.61,1.96,0.20400571851523505,4,0.0,0.0,cycle,5,exploit,1.1082912795691322,0.010625874070152688
AL,619,59,1757877513.7654321,5740.377791924402,5.754244250012562,5.25,0.2,3.2,2.725,2.25,-74.846526,1.31,1.54,1.86,0.27200762468698003,3,0.0,0.0,cycle,5,exploit,1.098405676605042,0.013843532346716302
AL,619,60,1757877522.9493492,5626.772292074747,5.640902790939435,3.0,0.3,1.4500000000000002,1.225,1.125,1.379966,18.24,25.55,30.29,0.07418389764190365,11,0.0,0.0,cycle,6,exploit,1.0516735575802334,0.10246017940705415
AL,619,61,1757877528.6320581,5667.025874950923,5.682551583042368,4.25,0.2,2.45,2.35,2.125,-6.927722,2.11,2.2,2.44,0.11657469629442002,7,0.0,0.0,cycle,6,explore,0.3787889243033103,0.02586269990522266
AL,619,62,1757877534.205974,5558.575375005603,5.573787832981907,4.75,0.4,2.825,2.475,2.125,2.135776,3.48,4.36,5.91,0.07418389764190365,11,0.0,0.0,cycle,6,explore,0.4401744039949234,0.03933220446460171
AL,619,63,1757877539.8623638,5633.198083029129,5.656220874981955,5.25,0.2,1.5750000000000002,1.35,1.125,2.853119,2.66,3.21,4.32,0.07418389764190365,11,0.0,0.0,cycle,6,explore,0.6235882748815845,0.09767565981872862
AL,619,64,1757877545.413301,5535.314167034812,5.550804166938178,5.5,0.3,3.075,2.6,2.125,0.576181,1.95,2.31,2.84,0.11657469629442002,7,0.0,0.0,cycle,6,exploit,1.041667711836477,0.10313202766005193
AL,619,65,1757877550.9766011,5547.129084006883,5.563174625043757,5.5,0.3,3.2,2.725,2.25,-1.231326,1.88,2.2,2.67,0.11657469629442002,7,0.0,0.0,cycle,6,exploit,1.036056708663147,0.061875766767925666
