algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,833,1,1757769683.797659,5.630158958025277,5625.530167017132,5.02026656344769,0.36969245823744806,2.2829789571939205,2.0760225071733096,1.8944646828894909,2.154368,3.96,4.72,5.68,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,2,1757769689.944677,6.147020832984708,6138.088749954477,3.6869863582987294,0.2080195754664486,1.7790070306917596,1.2802548048000841,1.0902719783706556,1.950779,3.85,7.43,10.26,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,3,1757769695.485705,5.541039500036277,5531.099625048228,4.521596336831873,0.33337971921501175,1.4327211479115922,1.276940639696214,0.8995913248460626,1.554278,10.15,12.78,25.76,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,4,1757769701.0914629,5.605772207956761,5597.177042043768,3.024753067315314,0.2939656774111276,2.0366535544691127,1.5563793843454623,1.0734692113400501,1.462721,8.73,14.95,31.42,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,5,1757769706.737292,5.645838833064772,5635.720334015787,3.6518650989106267,0.3300726417211157,2.626117297054215,2.44891172580403,2.16322816170892,1.999024,4.45,5.1,6.64,0.9999999999998872,1,1.494337082700114,0.9999999999993308,interaction,,,,,,
SAC,833,6,1757769712.4982998,5.7610192919382825,5597.302000038326,3.325783411221215,0.22256715405559824,2.1074526882517564,1.6720739955376132,1.5519653525572112,2.053908,3.86,6.04,7.1,0.9257882346443835,1,0.6104590650831763,0.5598237982114672,interaction,,,,,,
SAC,833,7,1757769718.104927,5.606657415977679,5570.792416925542,4.037549291233533,0.2586476710583078,1.2266766926105976,0.8428889426016316,0.7110578791664706,1.540569,10.45,22.15,31.12,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,8,1757769723.7775302,5.672588333953172,5641.023667063564,3.0468772565488513,0.2124734509654063,0.8064259419566161,0.6084076138557024,0.5084011667602732,1.341856,28.67,50.33,72.06,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,9,1757769729.388831,5.611326374928467,5561.656999983825,3.0002061148555006,0.20116439672235117,1.1000104757470026,0.600011547587256,0.5000115475869576,1.405792,14.25,47.84,68.87,0.9999999999999202,1,2.112919704637723,0.9999999999995267,interaction,,,,,,
SAC,833,10,1757769734.991411,5.60261504095979,5567.914208048023,3.0045061635825663,0.20396757525597975,1.0985408210198049,0.6001796504043633,0.5001796498258381,1.397972,14.64,49.01,70.55,0.9214769680694969,1,0.7623223120329978,0.5342521528431382,interaction,,,,,,
SAC,833,11,1757769740.562121,5.570751915918663,5538.548707962036,3.0035912176377737,0.20325924104511622,1.1001145874133194,0.6001146339084675,0.500114633564454,1.400101,14.51,48.72,70.12,0.8405521913341264,1,0.07629870500686235,0.054258708632953276,interaction,,,,,,
SAC,833,12,1757769746.190582,5.628474916913547,5576.9125000806525,3.0037240718861087,0.20244517703146037,0.7001178398657356,0.6001178211742334,0.5001178207754766,1.343277,35.52,48.32,69.56,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,13,1757769751.883369,5.69275899999775,5623.998292023316,3.000084137899343,0.2016191476749759,0.7000141779644496,0.6000141758763547,0.5000141758762787,1.344903,35.33,48.06,69.19,0.8696525455634033,1,0.30452765575048235,0.22686319168173927,interaction,,,,,,
SAC,833,14,1757769757.517177,5.633835874963552,5589.311124989763,3.0000884036613398,0.20144950493851815,0.7000161369327743,0.6000161369327317,0.5000161369326428,1.345397,35.27,47.98,69.07,0.867326951582383,1,0.28525261371188154,0.21306927207125123,interaction,,,,,,
SAC,833,15,1757769763.083008,5.565860791015439,5531.018332927488,3.0000898869766437,0.201603901745934,0.7000155173798139,0.60001551567807,0.5000155156779764,1.344949,35.32,48.05,69.17,0.8321681045755268,1,0.006064303178785084,0.00452972769332172,interaction,,,,,,
