algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms
A3C,97,1.0,1757707278.0342982,5507.284500054084,5.511598499957472,5.369806952348871,0.3760415848942269,2.5953406776075876,2.3748729502382813,2.1571618007379674,2.303385,3.01,3.42,4.01,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,97,2.0,1757707283.540391,5499.837624956854,5.505805499968119,3.5205370650265575,0.343221888452105,1.4956566503444115,1.0436970275425634,0.9294574525432071,1.347106,16.29,33.45,42.16,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,97,3.0,1757707289.046772,5499.139417079277,5.506182792014442,4.896753356410995,0.39999994187484,1.4754462176209948,1.0000000011389123,0.5000000011389436,1.365717,11.75,25.59,102.25,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,97,4.0,1757707294.5272908,5475.052291061729,5.4802754170959815,5.4625660714216275,0.4,1.1266455609477612,0.999982089037968,0.5,1.397766,16.2,20.56,82.15,0.9999999999999176,1.0,2.672332624143197,0.9999999999996257,rollout,0,1,,,,,
A3C,97,,1757707294.541999,,,,,,,,,,,,,,,,update,0,1,2835180.1156754955,8.246654422063717,4.041809585108436,2835188.3100904636,12.594165978953242
A3C,97,5.0,1757707300.029551,5482.693540980108,5.486803082982078,5.214002827178097,0.4,1.2582598533174827,0.9999999980355866,0.5000000000000003,1.383208,14.25,22.57,90.17,0.8526417431993616,1.0,0.7407047838805163,0.33033868872500316,rollout,0,2,,,,,
A3C,97,6.0,1757707305.569041,5530.620499979705,5.539202666957863,5.328597940612952,0.3999999999999995,1.2117109507503567,0.9999999993766742,0.5,1.39181,14.72,21.61,86.33,0.8120901827104899,1.0,0.3106308147530508,0.1460544025179241,rollout,0,2,,,,,
A3C,97,7.0,1757707311.089452,5510.034875012934,5.52009729098063,5.338830634326905,0.39999999994810403,0.8341152180331421,0.6000006713413442,0.5000000000000001,1.300754,30.93,59.72,86.0,1.0,1.0,inf,1.0,rollout,0,2,,,,,
A3C,97,8.0,1757707316.599342,5504.66537498869,5.509636166971177,5.337308409027564,0.4,1.0987076680230492,0.6000000003683371,0.5,1.338167,17.84,59.76,86.05,1.0,1.0,inf,1.0,rollout,0,2,,,,,
A3C,97,,1757707316.614538,,,,,,,,,,,,,,,,update,0,2,586580.0789189249,5.029234638160924,2.952559368189763,586585.0699924162,13.087666942737997
