algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms
A3C,448,1.0,1757709545.7619042,5646.586915943772,5.6519709170097485,5.197294653829088,0.22765464771776567,2.5931344823802007,2.149703861300106,1.922547266786343,-4.506489,1.86,2.24,2.51,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,448,2.0,1757709551.410361,5641.585750039667,5.648203167016618,3.672050084684342,0.2996369737359867,1.23983524073917,1.123522075939001,0.8965284348514517,1.441191,16.61,20.23,31.76,0.389975533661877,2.0,0.0,0.0,rollout,0,1,,,,,
A3C,448,3.0,1757709557.0254169,5608.616583049297,5.614764457917772,5.038465412959141,0.20044170983927678,1.5067439404491374,1.1705521394216598,0.6804244171379851,2.374427,2.93,4.35,13.11,0.389975533661877,2.0,0.0,0.0,rollout,0,1,,,,,
A3C,448,4.0,1757709562.662944,5628.47945804242,5.6371908750152215,4.666061696452902,0.20135068219983818,1.8378194726579498,1.3796176341906965,1.1808930058484621,2.700505,2.58,3.76,5.0,0.389975533661877,2.0,0.0,0.0,rollout,0,1,,,,,
A3C,448,,1757709562.680363,,,,,,,,,,,,,,,,update,0,1,-1770.6633922407811,1.3299705188136683,4.282600168663957,-1769.3887733385677,13.683791970834136
A3C,448,5.0,1757709568.361154,5675.169500056654,5.679677957901731,3.76158021733661,0.27033579574087657,2.034528252938836,1.5936957687184523,1.4015249581150475,1.833845,4.68,7.79,10.08,0.389975533661877,2.0,0.0,0.0,rollout,0,2,,,,,
A3C,448,6.0,1757709574.010505,5642.095791059546,5.6487547919387,3.559212359415276,0.21125316958502763,1.8500059040235501,1.3720368422384221,1.089463373894657,1.901097,3.93,7.15,11.38,0.389975533661877,2.0,0.0,0.0,rollout,0,2,,,,,
A3C,448,7.0,1757709579.648792,5631.14570803009,5.63796679105144,4.890955606525316,0.31504309269493397,1.3442634876629285,1.152465821956874,0.9433206656796125,1.658347,8.8,11.98,17.88,0.389975533661877,2.0,0.0,0.0,rollout,0,2,,,,,
A3C,448,8.0,1757709585.2795079,5623.420165968128,5.6303910840069875,4.306923605787202,0.20239339060249079,1.4629886227954092,1.2690020101836712,0.8223410767467805,2.089716,3.94,5.14,12.52,0.389975533661877,2.0,0.0,0.0,rollout,0,2,,,,,
A3C,448,,1757709585.295986,,,,,,,,,,,,,,,,update,0,2,31.29307832984709,0.9118787408441944,4.324097105475818,32.14906911578108,14.332165941596031
A3C,448,9.0,1757709591.001822,5698.219207930379,5.704925250029191,3.4525070852311437,0.37144250841471693,1.7385406273639163,1.5602295741585306,1.3615386054066647,1.425597,14.68,18.23,23.94,0.389975533661877,2.0,0.0,0.0,rollout,0,3,,,,,
A3C,448,10.0,1757709596.655196,5641.4493339834735,5.6529665410052985,4.3034448897750845,0.20001746627789613,1.3411517043904349,0.8412089643669574,0.5917976241068745,1.910212,4.51,11.7,23.65,0.25998368910791797,3.0,0.0,0.0,rollout,0,3,,,,,
A3C,448,11.0,1757709602.288244,5625.706124934368,5.632748165982775,4.5786403253545656,0.20002868946112712,1.722591931876399,1.2230797367993858,1.0283907826738792,2.482148,2.8,4.78,6.88,0.389975533661877,2.0,0.0,0.0,rollout,0,3,,,,,
A3C,448,12.0,1757709607.928331,5629.727958934382,5.639664583024569,3.591476333419084,0.22322174501014655,1.7594890367949225,1.3665501231240824,1.24047202123526,1.892006,4.68,7.93,9.62,0.389975533661877,2.0,0.0,0.0,rollout,0,3,,,,,
A3C,448,,1757709607.946796,,,,,,,,,,,,,,,,update,0,3,-527.1212941156496,0.3809550572197314,3.5983590795918547,-526.7868470172211,16.20383292902261
A3C,448,13.0,1757709613.5783622,5624.427583068609,5.630755666992627,4.198188485374146,0.21953070040921918,1.4833628864116744,1.1210227057292028,0.8105695783108989,1.869469,4.66,8.34,15.96,0.389975533661877,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,448,14.0,1757709619.310669,5720.948041998781,5.731932790949941,5.116455652866234,0.20352087924312978,1.435426388208611,1.323875190953955,0.9608064941753545,2.629431,3.13,3.53,6.51,0.389975533661877,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,448,15.0,1757709624.979028,5656.668875017203,5.667940874933265,3.4956611960678767,0.25207664420061837,1.3839876621904827,1.274215959560411,0.9511026563823578,1.581264,10.41,12.28,22.04,0.389975533661877,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,448,16.0,1757709630.656918,5666.1895419238135,5.677511624991894,4.134416568512509,0.20533958421943438,1.7924262497997347,1.292566782508421,0.8256979711825448,2.054476,3.12,5.54,13.87,0.389975533661877,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,448,,1757709630.6766562,,,,,,,,,,,,,,,,update,0,4,-34.39161850716357,0.8168113945995705,4.11168685522,-33.62794971412085,15.12541703414172
A3C,448,17.0,1757709636.2878048,5604.136749985628,5.609782124985941,4.872237615294507,0.21724561623209976,1.9934290847672014,1.882475108005723,1.5229223016925089,2.388748,2.46,2.61,3.39,0.389975533661877,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,448,18.0,1757709641.9102368,5612.379124970175,5.6221163750160486,4.759509590368944,0.3759814563671291,1.7587114140499787,1.3263354120544837,1.0454518379970006,1.575259,7.73,13.6,21.89,0.389975533661877,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,448,19.0,1757709647.5521019,5633.142708917148,5.641535583999939,3.8224033290043704,0.21516930415647195,1.6007315262567354,1.1008189049267718,0.7553536155702789,1.769256,4.64,10.02,21.3,0.389975533661877,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,448,20.0,1757709653.228641,5664.817042066716,5.676162792020477,4.10746810739775,0.21294470494864604,1.7782252269490213,1.2782364070270753,1.0333069742978955,2.070485,3.37,6.22,9.65,0.389975533661877,2.0,0.0,0.0,rollout,0,5,,,,,
