algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,833,1,1757781076.3785028,5.627011958044022,5618.329750024714,5.02026656344769,0.36969245823744806,2.2829789571939205,2.0760225071733096,1.8944646828894909,2.154368,3.96,4.72,5.68,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,2,1757781081.905456,5.5268653749953955,5518.078709021211,3.6869863582987294,0.2080195754664486,1.7790070306917596,1.2802548048000841,1.0902719783706556,1.950779,3.85,7.43,10.26,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,3,1757781087.767924,5.862386374967173,5851.1428340571,4.521596336831873,0.33337971921501175,1.4327211479115922,1.276940639696214,0.8995913248460626,1.554278,10.15,12.78,25.76,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,4,1757781093.364356,5.596380625036545,5591.788333025761,3.024753067315314,0.2939656774111276,2.0366535544691127,1.5563793843454623,1.0734692113400501,1.462721,8.73,14.95,31.42,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,5,1757781098.8960571,5.531635708059184,5523.663125000894,3.6518650989106267,0.3300726417211157,2.626117297054215,2.44891172580403,2.16322816170892,1.999024,4.45,5.1,6.64,0.9999999999998967,1,1.494337082700114,0.9999999999993308,interaction,,,,,,
SAC,833,6,1757781104.4597938,5.5636851659510285,5559.314124984667,3.418747270849014,0.22589324299063263,2.011410692795956,1.6379461647263511,1.3348846716127483,1.926673,4.09,6.15,9.39,0.9653253674809901,1,1.0194471623001604,0.775374452150883,interaction,,,,,,
SAC,833,7,1757781109.96251,5.5026588330511,5497.792416950688,4.1840035315824915,0.2265603562378597,1.9755387746223916,1.871026787758822,1.6306463755217526,2.429192,3.08,3.33,4.17,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,8,1757781115.612097,5.649526875000447,5642.863125074655,4.636365816304366,0.33526467612738653,1.85873107556495,1.7057074406152632,1.5151807745516022,1.870268,5.69,6.85,8.73,0.9872031742601287,1,1.2017613595296677,0.9171009529524972,interaction,,,,,,
SAC,833,9,1757781121.4746711,5.862505541997962,5854.1326250415295,4.43107390083304,0.3550078660365506,2.532737424520144,2.392190027262867,1.9994123041769478,2.121809,3.83,4.24,6.06,0.9000446552448559,1,0.42449481567676545,0.3524798261737211,interaction,,,,,,
SAC,833,10,1757781127.099962,5.625218750094064,5615.595833049156,4.4879162684892595,0.2544537484661787,2.2470722891710357,1.920700050708394,1.4750887856682597,2.38597,2.78,3.43,5.54,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,11,1757781133.1008708,6.0007974579930305,5653.082500095479,3.3671156159678732,0.21777921526470495,2.3088222237629807,1.8945546384499472,1.7529845124009253,2.294956,3.17,4.39,5.1,0.9011672997888894,1,0.4329840082444589,0.3597524236729192,interaction,,,,,,
SAC,833,12,1757781138.981972,5.881019207998179,5746.909542009234,4.492337821203763,0.25918968662078046,1.2646183337937107,0.9155688937873514,0.7500960600227213,1.662132,7.98,15.23,22.69,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,13,1757781144.717796,5.735702583100647,5676.610209047794,3.0969121749288626,0.21239370602754798,0.8047624157121729,0.6245354105555907,0.5244204941839358,1.357282,27.85,46.2,65.5,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,14,1757781150.385065,5.667175583075732,5606.94654204417,3.000275548849814,0.20143289730284722,1.1000218882446537,0.6000234843170231,0.5000234843151352,1.404979,14.28,47.97,69.05,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,15,1757781156.0118558,5.626705708098598,5581.777959014289,3.004435492349567,0.20393397604055857,1.0985622217466662,0.6001753921416194,0.5001753915912949,1.398061,14.64,49.0,70.53,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,16,1757781161.7694888,5.757548250025138,5595.80587502569,3.0035930379926583,0.2032648001803738,1.1001147744774182,0.6001148210610214,0.5001148207156365,1.400085,14.51,48.72,70.13,0.8532333459250133,1,0.06566938286518191,0.04923173851945703,interaction,409.80242528119027,15.8761056339528,1.0000148303986383,117.0942080207169,367.3885323131736,452.2163182492069
SAC,833,17,1757781167.511154,5.741586957941763,5646.866041002795,3.005561808438757,0.2022149624918267,0.7001890942889308,0.6001890942632113,0.5001890937029742,1.34433,35.39,48.14,69.29,1.0,1,inf,1.0,interaction,466.9267563074492,17.943240911068834,1.000029680111913,50.584500073455274,413.85251674265464,520.0009958722437
SAC,833,18,1757781173.215162,5.703936084057204,5608.030666015111,3.00015524159707,0.2019900468604115,0.7610965279443009,0.600028831354563,0.5000288313544252,1.353046,30.0,48.23,69.43,0.8687066011087005,1,0.2685142944301906,0.14946894855302914,interaction,410.13333465613533,18.42660543451158,1.000044544333189,57.45404097251594,360.55393940977234,459.7127299024983
SAC,833,19,1757781178.896668,5.681436458951794,5574.564917013049,3.0004461614414923,0.20147670067063422,0.8465119390363832,0.6000452897449551,0.5000452897441371,1.369042,24.13,47.98,69.06,0.8926128220769469,1,0.4500185683251734,0.30433570825265704,interaction,348.82575822762055,15.096977122130749,1.0000590605992847,60.83587498869747,308.2837311550569,389.3677853001842
SAC,833,20,1757781184.543327,5.646592207951471,5543.319500051439,3.002906635028988,0.20437802950982553,0.9217317964204532,0.6001821151065622,0.5001821150929243,1.372511,20.91,49.26,70.91,1.0,1,inf,1.0,interaction,423.13934803284343,24.441262551348878,1.000073723627643,51.980291958898306,355.30949112262937,490.9692049430575
SAC,833,21,1757781190.219893,5.676500124973245,5582.460167002864,3.0093900231546344,0.20875192751506283,0.7040511864332596,0.6002665492402763,0.500266549180363,1.327464,37.21,51.16,73.64,1.0,1,inf,1.0,interaction,558.029043028039,25.757918098918665,1.0000885448753847,54.80879207607359,479.6637044244784,636.3943816315998
SAC,833,22,1757781195.9218628,5.701905666966923,5605.756874894723,3.0003144484958426,0.2021572058617408,0.7356530723557435,0.6000734048555592,0.5000734048554849,1.348546,32.16,48.3,69.53,0.8658463979975748,1,0.1847816376150712,0.13094028237483268,interaction,446.0238987688824,28.968495456308066,1.000103507668518,56.15316692274064,369.51648608045406,522.5313114573107
