algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms
A3C,772,1.0,1757712928.60375,5461.592708947137,5.471541958046146,3.693828266519684,0.3968781122224343,1.9147759640504702,1.5893514286518147,1.2906643582770232,1.428081,12.07,17.52,26.57,1.0,1.0,inf,1.0,rollout,1,1,,,,,
A3C,772,2.0,1757712928.6680708,5526.297540985979,5.53623287496157,3.4375349581701347,0.3796232557857767,1.9935659279649591,1.769743474865125,1.5260289019385578,1.470134,11.76,14.93,20.08,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,772,3.0,1757712934.359832,5740.622041979805,5.755671542021446,3.041611031972617,0.20001002850090926,2.4382141701317943,2.338105410802076,2.2381021983802043,1.974609,3.01,3.19,3.41,1.0,1.0,inf,1.0,rollout,1,1,,,,,
A3C,772,4.0,1757712934.423182,5749.059750000015,5.754289750009775,3.0937407320699046,0.2001121516682634,2.678081795299743,2.3217460406305386,2.2217246642169988,1.960698,2.66,3.15,3.36,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,772,5.0,1757712936.420489,2049.481082940474,2.06030854198616,3.982724283013911,0.22224083468249556,1.9042302438145304,1.6820214324327571,1.5697677221401123,2.36627,3.39,4.16,4.74,0.29041986740582304,3.0,0.0,0.0,rollout,1,1,,,,,
A3C,772,,1757712936.436609,,,,,,,,,,,,,,,,update,1,1,25187.25158363878,5.014324020031349,2.103341944434348,25192.235100237158,13.95470800343901
A3C,772,7.0,1757712937.0508318,609.8514170153067,0.6135432500159368,3.998583167579085,0.23494666823913474,2.175646737200937,2.034964902727223,1.8234892077350497,2.355651,3.02,3.32,3.96,0.29041986740582304,3.0,0.0,0.0,rollout,1,2,,,,,
A3C,772,8.0,1757712937.667707,611.7458749795333,0.6166992079233751,4.084976518010557,0.23447878382402265,1.840677349053374,1.3683348984220398,1.194224239791558,2.008203,3.74,6.69,8.85,0.29041986740582304,3.0,0.0,0.0,rollout,1,2,,,,,
A3C,772,9.0,1757712938.285166,612.4710420845076,0.6172697499860078,3.3966361877444817,0.20415682986652117,2.183626451355476,2.081788423385496,1.981547347034836,2.164235,3.1,3.32,3.58,0.29041986740582304,3.0,0.0,0.0,rollout,1,2,,,,,
A3C,772,,1757712938.298984,,,,,,,,,,,,,,,,update,1,2,21.63267191127555,0.5455795187586138,3.816873160438822,22.122346102252838,11.932875029742718
A3C,772,10.0,1757712938.912074,608.4473750088364,0.6124912910163403,4.6010954977802365,0.2198573694557402,2.533615567061916,2.367235681993575,2.128146113833919,-5.801215,2.08,2.22,2.47,1.0,1.0,inf,1.0,rollout,1,3,,,,,
A3C,772,11.0,1757712939.529431,612.3394169844687,0.6171504160156474,3.6882891571057725,0.21227946105326417,2.4601688549191305,2.0902205547420865,1.6424369533767305,2.484417,2.58,3.1,4.61,0.4356298011087346,2.0,0.0,0.0,rollout,1,3,,,,,
A3C,772,12.0,1757712940.143379,608.6253329413012,0.6136930419597775,3.882402492395354,0.22152922964503213,2.3868851608538915,2.193100871249138,2.086727365751062,1.374093,2.63,2.88,3.07,0.4356298011087346,2.0,0.0,0.0,rollout,1,3,,,,,
A3C,772,,1757712940.15662,,,,,,,,,,,,,,,,update,1,3,70.65715267110134,0.9729944252117554,4.294988902118374,71.56723885904736,11.41987496521324
A3C,772,13.0,1757712940.774953,613.3586659561843,0.6176674590678886,4.04002181946293,0.24300235859059616,2.4876436700317384,2.2643413348751196,2.1476772462174423,1.644838,2.66,2.95,3.17,0.29041986740582304,3.0,0.0,0.0,rollout,1,4,,,,,
A3C,772,14.0,1757712941.3913028,611.2959999591112,0.61615408398211,3.772875828586411,0.24360492731158717,2.127588431910887,1.9580729756098167,1.788396227131362,2.289477,3.58,4.12,4.88,0.12446565745963846,7.0,0.0,0.0,rollout,1,4,,,,,
A3C,772,15.0,1757712942.008081,611.6802910109982,0.6165643749991432,3.9119400179126176,0.22842392405872816,2.4491366658657525,2.3443608464377137,2.0071507287413355,2.04551,2.62,2.74,3.35,0.4356298011087346,2.0,0.0,0.0,rollout,1,4,,,,,
A3C,772,,1757712942.020213,,,,,,,,,,,,,,,,update,1,4,25.83465358356871,0.2651497663149959,4.469995869528842,26.03433180452104,10.30662504490465
A3C,772,16.0,1757712942.6439629,619.0015829633921,0.623121083015576,4.814660906549897,0.25636266634217136,1.6228455808272053,1.427856777254683,1.3091150469024015,2.218815,4.08,5.21,6.26,0.12446565745963846,7.0,0.0,0.0,rollout,1,5,,,,,
A3C,772,17.0,1757712943.269844,620.1223749667406,0.6257023339858279,3.3332463833425874,0.21167256774975315,2.641841394628974,2.1883920608456684,2.0781750492990634,2.225029,2.65,3.34,3.62,0.29041986740582304,3.0,0.0,0.0,rollout,1,5,,,,,
A3C,772,18.0,1757712943.887805,612.4728329014033,0.6177568749990314,3.682324815444481,0.22137638083981698,1.9282469958238446,1.5295536252987831,1.267387328658589,2.013928,3.74,5.81,8.62,0.14520993370291152,6.0,0.0,0.0,rollout,1,5,,,,,
A3C,772,,1757712943.9006112,,,,,,,,,,,,,,,,update,1,5,-5.051923382106163,0.05848774343964558,4.323443720830869,-5.056760650580036,10.756375035271049
A3C,772,19.0,1757712944.5207732,614.5743749802932,0.619437332963571,3.5795166514922077,0.20887312659827167,2.6473612843995413,2.2312257129763036,1.9760616310744465,2.154643,2.43,2.9,3.43,0.4356298011087346,2.0,0.0,0.0,rollout,1,6,,,,,
A3C,772,20.0,1757712945.1478279,620.5104159889743,0.6267426660051569,4.638461684037709,0.2679983424968926,1.566973253302984,1.0944496682017832,0.8509495613434938,1.764176,5.09,10.68,17.68,0.2178149005543673,4.0,0.0,0.0,rollout,1,6,,,,,
A3C,772,21.0,1757712945.762089,608.0133749637753,0.6140546250389889,3.2943613092148687,0.20037614495672626,2.4256962790288794,2.3197294724429915,2.2197221458163967,1.355089,2.76,2.91,3.08,0.4356298011087346,2.0,0.0,0.0,rollout,1,6,,,,,
