algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms
A3C,833,1.0,1757718099.3584902,5491.168957902119,5.4955169999739155,4.25397758226345,0.31123170346771223,1.979961107916447,1.7862059704409328,1.3724116738132852,1.815558,5.11,6.36,10.89,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,833,2.0,1757718104.860188,5494.466083007865,5.501390582998283,4.023586204938757,0.39602869584531836,1.1205573363426828,1.0132475583442406,0.7898335998374633,1.274674,29.58,36.17,59.48,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,833,3.0,1757718110.374997,5505.408291006461,5.5144782500574365,5.499999999949971,0.3999929365592274,0.7282131673942636,0.6275608107986762,0.501170386498862,1.30752,38.23,51.45,80.65,0.39440849862000127,2.0,0.0,0.0,rollout,0,1,,,,,
A3C,833,4.0,1757718115.8716319,5489.793458022177,5.496327666915022,3.0000000330025105,0.3999997499266468,0.7075867037876207,0.6075866839817041,0.5001011231442974,1.108154,136.13,183.11,252.18,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,833,5.0,1757718122.0498261,6168.220249935985,6.177860709023662,5.5,0.4,0.700000003168819,0.6000000031688191,0.5000000000000014,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,1,,,,,
A3C,833,,1757718122.071657,,,,,,,,,,,,,,,,update,0,1,-6.503252365095647e+44,43.85615507789591,-19.60340843333183,-6.503252365095647e+44,16.46425004582852
A3C,833,6.0,1757718127.662092,5582.85266708117,5.58960979199037,3.0000000000186318,0.3999998798284863,0.7016356937827963,0.6016356933735761,0.5000478190547559,1.109238,138.45,186.41,252.22,0.39440849862000127,2.0,0.0,0.0,rollout,0,2,,,,,
A3C,833,7.0,1757718133.245195,5571.32670795545,5.582657625083812,3.0,0.4,0.7000000005074098,0.6000000005074099,0.5000000000000004,1.10953,139.1,187.32,252.25,0.26293899908000085,3.0,0.0,0.0,rollout,0,2,,,,,
A3C,833,8.0,1757718138.90763,5650.02604201436,5.661997124901973,3.0000000826614888,0.4,0.7000000003915642,0.6000000003915642,0.5000000000000004,1.10953,139.1,187.32,252.25,0.26293899908000085,3.0,0.0,0.0,rollout,0,2,,,,,
A3C,833,9.0,1757718144.482701,5567.554416018538,5.574734291993082,3.0,0.4,0.7000000003915642,0.6000000003915642,0.5000000000000004,1.10953,139.1,187.32,252.25,0.26293899908000085,3.0,0.0,0.0,rollout,0,2,,,,,
A3C,833,10.0,1757718150.009563,5518.910834100097,5.526564958039671,3.0084926985210707,0.4,0.7000000003915642,0.6000000003915642,0.5000000000000004,1.109769,138.32,186.37,251.21,1.0,1.0,inf,1.0,rollout,0,2,,,,,
A3C,833,,1757718150.0284731,,,,,,,,,,,,,,,,update,0,2,3.9689114425268416e+46,27.311791859021568,-68.43743516076819,3.9689114425268416e+46,14.900124981068075
A3C,833,11.0,1757718155.5793102,5545.267542009242,5.5500058750621974,3.0,0.4,0.700000000961211,0.6000000009611463,0.5000000000000003,1.10953,139.1,187.32,252.25,0.26293899908000085,3.0,0.0,0.0,rollout,0,3,,,,,
A3C,833,12.0,1757718161.069358,5482.73458390031,5.48987449996639,5.5,0.4,0.7000000009478183,0.6000000008408882,0.5000000000000002,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,3,,,,,
A3C,833,13.0,1757718166.6383228,5562.328333035111,5.568667208077386,3.3358251164181536,0.39999987293000394,0.7020140787360886,0.6020140761963853,0.5000413345544185,1.120619,111.79,152.15,213.67,0.9514316089493182,1.0,2.6438697654434202,0.7700175183801221,rollout,0,3,,,,,
A3C,833,14.0,1757718172.182817,5537.343499949202,5.544193459092639,5.5,0.4,0.7000001299532187,0.6000001299532187,0.5000000000004347,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,3,,,,,
A3C,833,15.0,1757718177.68977,5496.7812079703435,5.506636541918851,3.0000004016060275,0.3999998757027539,0.7020145104744439,0.6020140866887822,0.5000413446075416,1.109167,138.3,186.2,252.22,0.39440849862000127,2.0,0.0,0.0,rollout,0,3,,,,,
A3C,833,,1757718177.705842,,,,,,,,,,,,,,,,update,0,3,3.5501237483228604e+44,53.53274234449885,-51.83102822186862,3.5501237483228604e+44,13.964457903057337
A3C,833,16.0,1757718183.244864,5532.281166058965,5.538320166058838,5.5,0.4,0.700000002103281,0.600000002103281,0.5000000000000002,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,833,17.0,1757718188.814878,5559.74637507461,5.5697080419631675,3.0000000000633182,0.3999998765947105,0.7023953499016296,0.6023953486561398,0.5000373197014001,1.109095,138.15,185.98,252.23,0.39440849862000127,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,833,18.0,1757718194.338101,5513.861250015907,5.522944208001718,5.5,0.4,0.7000000043003376,0.600000002244076,0.5000000000000003,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,833,19.0,1757718199.859243,5512.002790928818,5.520804499974474,3.0000293555797404,0.3999998678906167,0.7035667591029531,0.6023953455908609,0.5000373144594533,1.108991,137.69,185.98,252.22,0.39440849862000127,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,833,20.0,1757718205.7920818,5925.79158290755,5.932565208990127,5.5,0.4,0.7000000023053209,0.6000000023053209,0.5000000000000003,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,4,,,,,
A3C,833,,1757718205.807193,,,,,,,,,,,,,,,,update,0,4,-1.8168114350602964e+44,64.57879589083316,-53.25128993590124,-1.8168114350602964e+44,12.264833087101579
A3C,833,21.0,1757718211.373753,5558.556332951412,5.565777916926891,3.0000000975777823,0.3999998737533149,0.702770094164134,0.6027692515217813,0.5000319397154211,1.109025,138.01,185.78,252.23,0.39440849862000127,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,833,22.0,1757718216.95539,5569.548917002976,5.581260332954116,5.5,0.4,0.7000000039754573,0.6000000039754518,0.5000000000000002,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,833,23.0,1757718222.514518,5548.891625017859,5.558780916035175,5.497444745955523,0.39999987300994394,0.7027692633170601,0.6027692576129675,0.5000319400989436,1.302051,41.08,55.81,81.1,0.39440849862000127,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,833,24.0,1757718228.1213179,5596.644416917115,5.606487542041577,3.0,0.39999987139835375,0.7033314182531972,0.6032015933963721,0.5000346615119207,1.108935,137.79,185.54,252.23,0.39440849862000127,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,833,25.0,1757718233.658488,5526.5601250575855,5.536835124948993,5.5,0.4,0.7000000042729305,0.6000000042729003,0.5000000000000002,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,5,,,,,
A3C,833,,1757718233.674004,,,,,,,,,,,,,,,,update,0,5,-5.183380992644046e+42,42.887257446039975,-40.75829152661295,-5.183380992644046e+42,13.43874994199723
A3C,833,26.0,1757718239.1900349,5507.050416083075,5.515213374979794,5.49997927630146,0.3999998877249071,0.703139178637193,0.6031376289016603,0.5000266299567617,1.302357,41.0,55.69,81.02,0.39440849862000127,2.0,0.0,0.0,rollout,0,6,,,,,
A3C,833,27.0,1757718244.728429,5527.192417066544,5.537978834006935,5.499999999999978,0.39999987917316393,0.7042974706056304,0.6037116306880999,0.5000295447287151,1.30251,40.86,55.59,81.02,0.39440849862000127,2.0,0.0,0.0,rollout,0,6,,,,,
A3C,833,28.0,1757718250.248389,5511.145416996442,5.519655208103359,5.499432688207612,0.3999998855984854,0.7040101956081477,0.6038446030797319,0.5000304391573722,1.302452,40.9,55.57,81.04,0.39440849862000127,2.0,0.0,0.0,rollout,0,6,,,,,
A3C,833,29.0,1757718255.792135,5531.495666014962,5.54341487493366,5.5,0.3999998809538243,0.7038610748013251,0.6038610701100553,0.5000303048856579,1.302496,40.91,55.56,81.02,0.39440849862000127,2.0,0.0,0.0,rollout,0,6,,,,,
A3C,833,30.0,1757718261.365281,5563.974791904911,5.572863916051574,3.0033549908295893,0.39999987669005677,0.7038591824049851,0.6038555048250207,0.5000302778821953,1.108918,137.27,184.8,251.82,0.791329736100649,1.0,0.040853366325981924,0.01189839536234897,rollout,0,6,,,,,
A3C,833,,1757718261.380627,,,,,,,,,,,,,,,,update,0,6,545377714998428.4,124.98819210090392,-17.312337391580797,545377714998553.6,13.032875023782253
A3C,833,31.0,1757718266.891988,5504.349624970928,5.510677083977498,5.5,0.4,0.7000000110530741,0.6000000110530741,0.5000000000000001,1.301766,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,7,,,,,
A3C,833,32.0,1757718272.4926798,5589.88737501204,5.600376541959122,3.0000000000011653,0.39999989355232873,0.7035002758432848,0.6035000708849196,0.500022738872921,1.108889,137.72,185.37,252.24,0.39440849862000127,2.0,0.0,0.0,rollout,0,7,,,,,
A3C,833,33.0,1757718278.041136,5535.5435410747305,5.54806370800361,3.316823002341642,0.4,0.7000000099942798,0.6000000099942798,0.5000000000000001,1.120236,113.73,154.93,215.73,0.8211464022960143,1.0,0.5256276521765151,0.1530871549011599,rollout,0,7,,,,,
A3C,833,34.0,1757718283.5513332,5500.202208058909,5.509889582986943,5.499999978996367,0.4,0.7000003669581805,0.6000003669581805,0.5000000000000524,1.301766,41.36,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,7,,,,,
A3C,833,35.0,1757718289.099061,5533.318166970275,5.54711975005921,5.5,0.39999989689118237,0.7044211303430862,0.6035029884100829,0.5000227723750428,1.302494,40.85,55.63,81.02,0.39440849862000127,2.0,0.0,0.0,rollout,0,7,,,,,
A3C,833,,1757718289.113881,,,,,,,,,,,,,,,,update,0,7,-2.981859344562802e+40,48.51232535444778,-48.57763791415732,-2.981859344562802e+40,12.506166007369757
A3C,833,36.0,1757718294.631618,5508.730457979254,5.516998374951072,5.499999999999999,0.39999990053307355,0.7053304001816009,0.6046781992762548,0.5000219334040578,1.302697,40.74,55.41,81.02,0.39440849862000127,2.0,0.0,0.0,rollout,0,8,,,,,
A3C,833,37.0,1757718300.1585312,5515.200583962724,5.52663916698657,3.0,0.3999998975289843,0.7816720600824013,0.604970219361957,0.5000227072053441,1.101977,111.49,184.56,252.24,1.0,1.0,inf,1.0,rollout,0,8,,,,,
A3C,833,38.0,1757718305.706523,5537.339667091146,5.547674500034191,5.499959431011619,0.4,0.700000170227305,0.600000168171563,0.5000000000000032,1.301763,41.37,56.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,8,,,,,
A3C,833,39.0,1757718311.22444,5508.3042500773445,5.517629541922361,5.498897083256655,0.39999990993869583,0.7038623624717452,0.6038537331866474,0.5000191965452413,1.302389,40.93,55.58,81.06,0.39440849862000127,2.0,0.0,0.0,rollout,0,8,,,,,
A3C,833,40.0,1757718316.858469,5619.349709013477,5.633639374980703,5.4999998072492335,0.3999999011896833,0.7047411488226235,0.6047300074351392,0.5000217409607961,1.302659,40.81,55.4,81.02,0.39440849862000127,2.0,0.0,0.0,rollout,0,8,,,,,
A3C,833,,1757718316.8785899,,,,,,,,,,,,,,,,update,0,8,-2.0528219577942328e+39,17.24985888441326,-28.790601850591724,-2.0528219577942328e+39,15.066249994561076
A3C,833,41.0,1757718322.444681,5554.174416931346,5.564999125082977,5.5,0.39999991031441445,0.7054154711213199,0.6054152095952191,0.5000196540682114,1.302788,40.73,55.28,81.03,0.39440849862000127,2.0,0.0,0.0,rollout,0,9,,,,,
