run_id,run_index,experiment,algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance,budget,executable_name,start_ts,end_ts,wall_time_s
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,1,1757946372.9555929,6285.794125054963,4.903651653182248,0.2597178419899609,2.4891424799207282,2.2397528235502384,1.882769237722933,1.890817,2.34,2.6,3.19,-2.703817,init,0,False,1.0,inf,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,2,1757946378.524367,5568.12891701702,3.653651653182248,0.370828953101072,3.171610012388261,2.704038537835953,2.232769237722933,1.908924,3.91,5.28,7.92,-3.619924,init,0,False,2.0,0.2060500032203226,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,3,1757946384.181768,5656.903499970213,4.278651653182248,0.30416228643440535,1.5449866357648838,1.3683242521216665,1.1827692377229324,1.682943,8.11,10.35,13.85,-4.913943000000001,init,0,False,2.0,1.3712769319992648,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,4,1757946389.7235909,5541.314334026538,3.028651653182248,0.2374956197677387,1.8794022201804685,1.775467109264524,1.532769237722933,1.774627,6.62,7.47,10.03,-4.186627,init,0,False,2.0,1.2062671823072801,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,5,1757946395.2804139,5556.140125030652,5.216151653182248,0.333791916064035,1.678103518881767,1.246895680693095,0.8327692377229324,1.687901,5.45,10.1,22.64,-5.506901,init,0,False,1.0,0.24797415840665155,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,6,1757946400.848902,5567.88141594734,3.966151653182248,0.2671252493973683,2.418400364892899,2.0962834357951365,1.812769237722933,2.294175,3.15,3.94,5.17,-3.520175,init,0,False,2.0,0.20374406063669015,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,7,1757946406.4366012,5587.306833011098,4.591151653182248,0.20045858273070166,2.415153611646146,2.274854864366565,2.162769237722933,-18.164244,1.99,2.11,2.22,-10.0,init,0,False,0.0,inf,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,8,1757946411.975777,5538.778917049058,3.341151653182248,0.3782363605084794,1.6928985939365822,1.453426292937993,1.1127692377229326,1.336251,17.15,23.26,39.66,-9.343251,init,0,False,1.0,0.2356687523390939,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,9,1757946417.6815941,5705.20550000947,5.177089153182248,0.31156969384181277,2.339002490040478,1.9177120072237075,1.4627692377229327,2.271123,2.84,3.78,6.42,-3.5751229999999996,init,0,False,2.0,0.26664015709988764,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,10,1757946423.248886,5566.738958004862,3.927089153182248,0.24490302717514612,1.2441972952352833,0.9319977215094215,0.7627692377229324,1.592728,9.63,17.17,25.63,-6.835728000000001,init,0,False,2.0,1.4496187605121962,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,11,1757946428.816611,5567.05045804847,4.552089153182248,0.3560141382862572,2.3540674251054137,1.969140578652279,1.742769237722933,1.958645,4.18,5.94,7.71,-3.741645,init,0,False,2.0,0.25232349233609996,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,12,1757946434.421623,5604.375583003275,3.302089153182248,0.2893474716195905,2.7664050874430757,2.4905691500808502,2.0927692377229326,2.041655,3.84,4.64,6.67,-3.556655,init,0,False,2.0,0.13875058914656788,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,13,1757946440.011004,5588.937499909662,5.489589153182248,0.2226808049529239,1.8529542525636693,1.3589364970196256,1.0427692377229325,2.766676,2.41,3.49,5.69,-3.925676,init,0,False,2.0,inf,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,14,1757946445.558511,5547.058791969903,4.239589153182248,0.34613759507638064,1.7406165902260073,1.5375079255910546,1.3927692377229328,1.646598,8.43,10.81,13.17,-4.8875980000000006,init,0,False,1.0,0.028186648216018406,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,15,1757946451.169143,5610.042417072691,4.864589153182248,0.279470928409714,1.1964607460701626,1.0660793541624827,0.6927692377229324,1.65577,8.84,11.13,26.37,-6.289770000000001,init,0,False,2.0,inf,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,16,1757946457.199903,6025.551249971613,3.614589153182248,0.21280426174304734,2.5620191876286054,2.104365068448198,1.616769237722933,2.461518,2.53,3.17,4.97,-3.528518,init,0,False,2.0,inf,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,17,1757946462.974376,5773.7392919370905,5.020839153182248,0.3905820395208251,2.51721399282341,2.168650782733912,1.9667692377229329,2.13321,3.69,4.82,5.89,-3.57321,init,0,False,2.0,0.23714247714665293,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,18,1757946468.54877,5573.892832966521,3.770839153182248,0.32391537285415845,1.342538668148085,1.1757936398767685,0.9167692377229324,1.424694,15.7,20.47,33.65,-8.406694,init,0,False,1.0,0.11279174886858812,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,19,1757946474.040412,5491.206958075054,4.395839153182248,0.25724870618749174,1.930082942055995,1.69722221130534,1.2667692377229325,2.088973,3.58,4.47,8.18,-3.7119730000000004,init,0,False,2.0,0.20908152496556864,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,20,1757946479.633533,5592.539708013646,3.145839153182248,0.3683598172986029,1.2567990830578504,0.8421201704890133,0.5667692377229324,1.142614,33.27,74.05,163.51,-28.225614,init,0,False,1.0,inf,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,21,1757946485.236219,5600.26450001169,5.333339153182248,0.30169315063193625,2.0962796025383703,1.7906915990604424,1.6867692377229329,2.396744,3.01,3.83,4.25,-3.505744,init,0,False,3.0,inf,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,22,1757946491.742701,6504.539707908407,4.083339153182248,0.23502648396526957,2.747578303837072,2.369263027631871,2.036769237722933,1.874973,2.31,2.67,3.21,-2.693973,init,0,False,1.0,0.2691491338499833,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
6563f44c-3bc6-47fe-b2c8-b9b7d8fe4442,6,default_experiment,GA,448,23,1757946497.446066,5702.746915980242,4.708339153182248,0.35354500248378806,1.7027731090318765,1.4335487419175847,0.9867692377229325,1.607966,7.44,10.52,22.2,-5.623966,init,0,False,1.0,0.11059815229554033,100,ConsumptionCar.exe,1757946372.9555929,1757946818.374153,224.17860462504905
