algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms
A3C,42,2.0,1757704533.2190368,2897.0843750284985,2.9423881249967963,5.145824706065676,0.3741818954481134,2.2827104718146995,1.9337111502701254,1.4548343024674308,1.918225,3.88,5.3,9.58,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,42,3.0,1757704533.875815,637.8065829630941,0.656391958007589,4.442950627044917,0.2018280257082261,1.184661774098254,1.083705719358182,0.6662941930299452,1.99708,5.52,6.68,17.82,0.4,2.0,0.0,0.0,rollout,0,1,,,,,
A3C,42,4.0,1757704534.502059,621.3672090088949,0.6260437919991091,4.830644425350816,0.20020515095316388,1.421172635699075,0.9429553352013114,0.5013318416219491,2.135727,3.37,7.39,26.2,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,42,5.0,1757704535.165347,652.892625075765,0.663010457996279,3.905552521699001,0.20007422646535933,1.0959236555655791,0.9951099017096221,0.5011119148589364,1.693389,8.37,10.16,40.05,1.0,1.0,inf,1.0,rollout,0,1,,,,,
A3C,42,,1757704535.2050078,,,,,,,,,,,,,,,,update,0,1,81.90384273627485,3.2585805351145103,4.703595352791137,85.11538731786145,36.88300005160272
A3C,42,6.0,1757704535.834858,625.1133329933509,0.6291226249886677,3.803661974964534,0.20000042210284913,1.1000614909618958,0.9997894053903738,0.5000117220261671,1.660873,8.76,10.6,42.38,1.0,1.0,inf,1.0,rollout,0,2,,,,,
A3C,42,7.0,1757704536.455263,615.5532910488546,0.6201665829867125,4.962972700359624,0.20000021357701286,1.0999393166092026,0.9999331369841952,0.5000000926518288,2.122906,5.03,6.13,24.91,0.4,2.0,0.0,0.0,rollout,0,2,,,,,
A3C,42,8.0,1757704537.079152,619.0375000005588,0.6235982499783859,4.223140350634058,0.2000560222165677,1.4868889708733664,0.9915171657380122,0.500082529006654,1.890718,3.88,8.75,34.4,0.9999999999999112,1.0,2.251406207277986,0.9999999999995558,rollout,0,2,,,,,
A3C,42,9.0,1757704537.704592,620.6645419588313,0.6252277919556946,4.786348771979544,0.20000542488202952,1.1031820663606768,0.999304098959837,0.5002636867053287,2.055076,5.38,6.65,26.75,0.4,2.0,0.0,0.0,rollout,0,2,,,,,
A3C,42,,1757704537.717002,,,,,,,,,,,,,,,,update,0,2,2987.9841190365905,1.4955997994118406,3.7539295114322804,2989.4421795408884,10.610457975417376
A3C,42,10.0,1757704538.386762,661.8290001060814,0.6689963749377057,3.531794091384396,0.20005623214940987,1.138851332264341,0.999809857038925,0.5030953695105711,1.587497,9.48,12.31,48.57,1.0,1.0,inf,1.0,rollout,0,3,,,,,
A3C,42,11.0,1757704539.200146,795.6522499443963,0.8130736249731854,3.6749701733493803,0.20000004000660873,1.1001636065420193,0.9999792299018517,0.5000109983333195,1.621383,9.38,11.35,45.39,0.8690510692730892,1.0,0.6543771316014173,0.3452553463654456,rollout,0,3,,,,,
