Algorithm,Mean HV,Std HV,Var HV,Mean Coverage (Diversity Var),Std Coverage,Var Coverage,Mean Total Time (s),Std Total Time (s),Var Total Time (s),Ø Pareto-Loesungen/Seed,Pareto-Loesungen (Union),Mean evals to 95% HV
SAC,0.6445018729748586,0.13094682520836295,0.01714707103214956,0.013918422403788887,0.014673865554981165,0.0002153223303256627,565.3098058999982,7.227380656767339,52.2350311578147,6.2,7,41.4
AL,0.5717730015300718,0.08255013289960618,0.006814524441742643,0.014823459731159888,0.016656916479616833,0.00027745286660893086,590.8836470206036,3.053498103416331,9.32385066756713,10.4,9,35.2
NSGA2,0.547644960761365,0.11462754523297361,0.01313947412613741,0.024373015883998393,0.02166403735841301,0.00046933051466671464,223.24052123330767,1.8127339696304239,3.2860044446520744,12.4,3,28.3
A3C,0.4951594655577297,0.16030979254389274,0.025699229585465926,0.012270750420303766,0.009322195660706713,8.690333193649907e-05,38.17029803352197,2.813820221083579,7.917584236578842,29.7,3,25.2
