algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,346,1,1757834768.542777,5542.200582916848,4.218128566000926,0.28928235244521316,1.6945786254642576,1.328789753763259,0.843331534406146,1.637221,6.19,10.21,25.36,-5.813221000000001,init,0,False,4.0,0.7502649098039769
GA,346,2,1757834774.03912,5496.322957915254,5.468128566000926,0.24483790800076877,1.9814617423473744,1.8702183251918303,1.613331534406146,1.865168,2.49,2.64,3.13,-2.6911680000000002,init,0,False,4.0,inf
GA,346,3,1757834779.524138,5484.959791996516,3.5931285660009262,0.37817124133410207,2.158363412106187,1.6834836313142794,1.263331534406146,1.461956,9.11,14.99,26.61,-6.532956,init,0,False,2.0,1.233209551443758
GA,346,4,1757834785.005994,5481.7017909372225,4.843128566000926,0.3115045746674354,2.4168049705477452,2.2691979170285648,1.963331534406146,2.356054,2.96,3.23,4.07,-3.382054,init,0,False,3.0,inf
GA,346,5,1757834790.504141,5497.930667013861,3.9056285660009262,0.2003934635563243,1.3252465289893038,1.1049122027428508,0.9133315344061461,1.907563,5.63,8.26,12.1,-4.506563,init,0,False,3.0,inf
GA,346,6,1757834796.017302,5513.031041948125,5.155628566000926,0.3337267968896576,1.2590717946327514,0.9263407741714222,0.5633315344061461,1.502255,10.13,18.72,50.58,-9.445255000000001,init,0,False,2.0,inf
GA,346,7,1757834801.560388,5542.946125031449,3.2806285660009262,0.26706013022299097,2.1450458206067773,1.9577693455999936,1.823331534406146,1.905832,5.4,6.57,7.63,-3.865832,init,0,False,2.0,2.114788797921876
GA,346,8,1757834807.0495749,5488.947750069201,4.530628566000926,0.23002309318595393,2.3560847816457384,1.9506264884571363,1.473331534406146,2.62372,2.37,2.88,4.46,-3.59472,init,0,False,3.0,inf
GA,346,9,1757834812.518631,5468.729333020747,4.061878566000926,0.36335642651928723,2.7184224439834006,2.422055059885708,2.173331534406146,2.029794,4.11,5.11,6.42,-3.593794,init,0,False,2.0,0.496242932676378
GA,346,10,1757834818.04428,5525.329208001494,5.311878566000926,0.2966897598526206,1.7953241137422131,1.5353203660081567,1.1233315344061459,2.032072,3.73,4.96,9.48,-3.849072,init,0,False,2.0,1.2607660119998498
