algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,833,1,1757837417.671926,5487.806749995798,4.696265211253275,0.2940825458361609,1.4100892088892731,1.011384383490049,0.6705043213751329,1.589868,7.55,14.7,33.44,-7.158868,init,0,False,1.0,0.4405428363750489
GA,833,2,1757837423.518463,5845.86749994196,3.446265211253275,0.33852699028060534,2.5167125855126495,2.227098669204335,2.000504321375133,1.761567,5.73,7.44,9.24,-4.002567000000001,init,0,False,4.0,0.45797768364244174
GA,833,3,1757837429.0307121,5511.867875000462,5.321265211253275,0.20519365694727199,2.2070650901508686,1.7719966283880082,1.3005043213751328,2.926987,1.92,2.4,3.45,-3.703987,init,0,False,2.0,inf
GA,833,4,1757837434.5202749,5489.353166078217,4.071265211253275,0.27186032361393864,2.0168053498911287,1.836282342673723,1.6505043213751331,2.129239,4.15,4.95,6.19,-3.6582390000000005,init,0,False,1.0,0.2520330374182462
GA,833,5,1757837439.9913568,5470.876332954504,4.383765211253275,0.3829714347250498,1.7220001550859338,1.250568056959437,0.950504321375133,1.461848,9.87,18.71,32.38,-7.557848,init,0,False,4.0,0.4812295126498646
GA,833,6,1757837445.458258,5466.3958749733865,3.133765211253275,0.24963810139171644,1.0022244762193457,0.7291394855308656,0.600504321375133,1.323227,24.23,45.73,67.4,-15.059227000000002,init,0,False,4.0,1.552128393597009
GA,833,7,1757837450.960073,5501.354999956675,5.008765211253275,0.31630476805838315,2.7270296710245407,2.3448537712451514,1.9305043213751332,2.42917,2.55,3.01,4.06,-3.39117,init,0,False,1.0,inf
GA,833,8,1757837456.468489,5508.062125067227,3.758765211253275,0.3755640273176424,1.933523177518047,1.5877109141022943,1.230504321375133,1.469126,10.24,15.19,25.28,-6.540126000000001,init,0,False,1.0,0.42591708896184877
GA,833,9,1757837461.960139,5491.445249994285,4.852515211253275,0.24223069398430902,1.9874192814141511,1.82342519981658,1.580504321375133,2.46188,2.77,3.07,3.82,-3.42788,init,0,False,1.0,inf
GA,833,10,1757837467.4397628,5479.399333940819,3.602515211253275,0.3088973606509757,1.4714638083158205,1.343833363081886,0.8805043213751329,1.444126,13.02,15.61,36.35,-7.942126000000001,init,0,False,4.0,0.8206070716837263
GA,833,11,1757837472.9362361,5496.09170795884,5.477515211253275,0.3533418050954202,0.9448404316924439,0.7081190773676002,0.5305043213751329,1.430812,17.87,31.81,56.63,-12.061812,init,0,False,2.0,inf
GA,833,12,1757837478.469876,5533.298166934401,4.227515211253275,0.22000847176208682,2.9209443277963403,2.5024047916533148,2.210504321375133,-2.756844,1.96,2.29,2.59,-10.0,init,0,False,5.0,inf
GA,833,13,1757837483.95507,5484.986874973401,4.540015211253275,0.2866751384287535,1.9404248472768595,1.630976220224743,1.510504321375133,2.10378,4.03,5.63,6.64,-3.7337800000000003,init,0,False,1.0,0.43052519581610343
GA,833,14,1757837489.45932,5504.027459071949,3.290015211253275,0.39778624953986463,2.721593678445691,2.266690505939029,1.860504321375133,1.541232,7.56,10.91,16.19,-5.007232,init,0,False,4.0,0.5337555526685419
GA,833,15,1757837494.949708,5490.109417005442,5.165015211253275,0.2644529162065312,1.7099053667573791,1.5095476487961716,1.160504321375133,2.220884,3.51,4.34,7.45,-3.750884,init,0,False,1.0,0.4064275409952175
GA,833,16,1757837500.4378629,5487.8797919955105,3.915015211253275,0.331119582873198,1.5365287433807555,1.0452619345104572,0.8105043213751328,1.41748,11.61,25.1,41.73,-9.26148,init,0,False,1.0,1.3552577499842942
GA,833,17,1757837505.9495099,5510.156958014704,4.696265211253275,0.2940825458361609,1.4100892088892731,1.011384383490049,0.6705043213751329,1.589868,7.55,14.7,33.44,-7.158868,generation,1,False,,
GA,833,18,1757837511.440574,5490.632917033508,4.696265211253275,0.2883323924794845,1.4833755354842562,1.0846707100850324,0.7437906479701162,1.651609,6.5,12.28,26.13,-6.142609,generation,1,False,4.0,0.5513455519085352
GA,833,19,1757837516.943721,5502.798125031404,3.121617047045983,0.25071616564082255,1.0077695645546223,0.714402471577189,0.5849473510538662,1.314672,24.36,48.42,72.2,-15.812672000000003,generation,1,False,4.0,inf
GA,833,20,1757837522.427765,5483.826625044458,3.4551384689278763,0.3374348519341556,2.5344496516603883,2.2451258851607574,2.016181039494454,1.778738,5.57,7.23,8.99,-3.957738,generation,1,False,4.0,0.5307218410333392
GA,833,21,1757837528.180244,5752.042124979198,3.8060950800892375,0.3211801821550864,1.9238588675814219,1.5774388208422996,1.2206541281305563,1.600328,7.36,10.97,18.33,-5.266328,generation,1,False,,
GA,833,22,1757837533.734408,5553.821042063646,5.052707101364821,0.3765823808178176,2.722990818302267,2.3390926304559736,1.926444595063603,2.238258,3.07,3.88,5.62,-3.495258,generation,1,False,,
