run_id,run_index,experiment,algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,worker_id,rollout_id,loss_actor,loss_critic,entropy_mean,total_loss,update_time_ms,budget,executable_name,start_ts,end_ts
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,4.0,1757954329.379168,2581.019749981351,38.66351158299949,4.9431269901333925,0.2912509215040302,2.5105686223108163,2.384952512751734,2.0087035735503234,2.111448,2.58,2.72,3.4,1.0,1.0,inf,1.0,rollout,0,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,1.0,1757954329.384189,2608.5122920339927,38.66351158299949,3.7252152085760826,0.35704255646937605,2.48735357307877,2.032688271729597,1.6620051305607908,1.673045,5.57,8.52,12.75,1.0,1.0,inf,1.0,rollout,1,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,5.0,1757954330.028554,631.0493329074234,38.66351158299949,3.4816891322354167,0.344845541957849,2.5005500114202306,2.3674879845310364,2.014021703611609,1.766465,5.91,6.66,9.27,1.0,1.0,inf,1.0,rollout,0,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,6.0,1757954330.03139,634.6349159721285,38.66351158299949,3.050969784894987,0.3087464027373416,2.761959446579872,2.4686778429499947,2.0013519467613055,1.766603,5.03,6.37,9.8,0.999999999999927,1.0,2.7363091485986852,0.9999999999996345,rollout,1,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,7.0,1757954330.6675289,630.6646660668775,38.66351158299949,3.3363529910838876,0.3948507946551063,1.5050160089109526,1.1369975102381968,0.6626937912275753,1.206239,23.71,41.52,122.23,1.0,1.0,inf,1.0,rollout,0,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,8.0,1757954330.668436,628.2917499775067,38.66351158299949,3.2204341575166184,0.3767643374363982,1.1964868860109936,0.984803985810907,0.5195287480117271,1.131607,36.64,54.06,191.81,1.0,1.0,inf,1.0,rollout,1,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,10.0,1757954331.3109498,627.4574159178883,38.66351158299949,3.000000000000954,0.39999999999999614,1.1000053451283933,0.9999999999904563,0.5000000000001493,1.082353,56.28,68.09,252.25,1.0,1.0,inf,1.0,rollout,0,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,9.0,1757954331.313865,633.523958036676,38.66351158299949,3.0,0.4,1.1000000009485875,1.0,0.5,1.082353,56.28,68.09,252.25,1.0,1.0,inf,1.0,rollout,1,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,12.0,1757954331.9715981,646.7402499401942,38.66351158299949,3.0,0.4,2.8471089076654525,2.7471089076652664,2.2471089076652664,1.562195,8.41,9.03,13.5,0.9472521201463804,1.0,1.7298418687932235,0.7362606007319017,rollout,1,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,11.0,1757954331.974158,654.4201249489561,38.66351158299949,3.0,0.4,2.850000114079176,2.7499999984675867,2.2499999984675867,1.562995,8.39,9.01,13.46,0.8140529283387142,1.0,0.1650865454113201,0.07026464169357088,rollout,0,1,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,,1757954332.00066,,38.66351158299949,,,,,,,,,,,,,,update,0,1,1.295364539200138e+35,120.60362906596822,-12.850782882409675,1.295364539200138e+35,23.20187503937632,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,,1757954332.015529,,38.66351158299949,,,,,,,,,,,,,,update,1,1,1.3006315391106865e+35,156.70716355810458,-16.749630863291735,1.3006315391106865e+35,39.53499998897314,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,13.0,1757954332.642696,632.3698749765754,38.66351158299949,3.0980215457223634,0.398504039351791,1.263356149194803,1.0613143160620497,0.5781352386284249,1.116755,39.73,56.27,187.74,0.8778201987898346,1.0,0.9078276724167311,0.3891009939491732,rollout,0,2,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
d562aee3-81b7-461c-be82-76c07409d5c6,3,default_experiment,A3C,145,14.0,1757954332.6543381,632.5361249037087,38.66351158299949,3.2040458440458552,0.23227818896243282,1.893258421082542,1.6767335065830618,1.196672325923133,1.746068,5.5,7.14,14.07,0.8485846555569582,1.0,0.5662179534311551,0.2429232777847905,rollout,1,2,,,,,,100,ConsumptionCar.exe,1757954329.379168,1757954365.280874
