algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,346,1,1757750148.483468,5.618467207998037,5608.978957985528,4.484048825390388,0.20182045094643122,1.5824811966195216,1.1021996375373766,0.8248171607194645,2.179435,3.24,6.31,11.41,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,2,1757750154.0553129,5.5719041670672596,5567.582249990664,4.670522096598831,0.20366766791575838,2.1192444517510873,1.8433867300373386,1.6079805149529909,1.634059,2.26,2.6,3.03,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,3,1757750159.611996,5.556742082932033,5551.636417047121,3.102788221839281,0.39185568292962414,1.565538159828395,1.1341621465733085,0.9421986555053536,1.223802,24.95,47.5,68.81,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,4,1757750165.095059,5.48311295802705,5478.698833961971,3.364767116569652,0.3113767619401383,2.1010928216395772,1.8063970746392088,1.6263271607377157,1.643539,7.42,10.06,12.41,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,346,5,1757750170.5519612,5.456961082993075,5452.825708081946,5.16370910033439,0.29792364513952513,2.1100539183901197,1.66044426305535,1.2984652598513062,2.165416,3.07,4.54,7.56,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,346,6,1757750176.105412,5.553492792067118,5495.984166976996,4.26617355604343,0.399803996976019,1.670890610834605,1.361384407873852,0.9832737467567617,1.423887,12.06,18.17,34.82,0.9999999999999399,1,3.999999999997481,0.99999999999975,interaction,,,,,,
SAC,346,7,1757750181.647496,5.542144582956098,5509.782082983293,4.718672869448806,0.39999999999999547,1.2938734913401269,1.0177585329268952,0.5178581909485993,1.331436,16.46,26.6,102.65,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,8,1757750187.1573381,5.5099034999730065,5481.516457977705,3.0074516637639466,0.4,1.1020506604214917,1.0020027616191283,0.5020027616191284,1.083445,55.79,67.48,249.86,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,9,1757750192.670977,5.51370220805984,5483.803375042044,3.0002512667039785,0.4,1.100001630105867,1.0000015945419194,0.5000015945419206,1.082374,56.27,68.08,252.22,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,10,1757750198.1901371,5.519203457981348,5488.199249957688,3.0002269840856597,0.4,1.1000014362357757,1.000001406962975,0.5000014069629749,1.082372,56.27,68.08,252.23,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,11,1757750203.7665422,5.5764703339664266,5542.995666037314,3.0002267103956193,0.4,1.1000014367553181,1.0000014069622267,0.5000014069622266,1.082372,56.27,68.08,252.23,1.0,1,inf,1.0,interaction,,,,,,
SAC,346,12,1757750209.2832232,5.5167470830492675,5488.250833004713,3.000226710397084,0.4,1.1000014360236432,1.0000014069622178,0.5000014069622178,1.082372,56.27,68.08,252.23,1.0,1,inf,1.0,interaction,,,,,,
