algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2
SAC,833,1,1757752933.84693,5.4946630001068115,5490.160124958493,5.02026656344769,0.36969245823744806,2.2829789571939205,2.0760225071733096,1.8944646828894909,2.154368,3.96,4.72,5.68,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,2,1757752939.339357,5.492404958000407,5488.045791047625,3.6869863582987294,0.2080195754664486,1.7790070306917596,1.2802548048000841,1.0902719783706556,1.950779,3.85,7.43,10.26,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,3,1757752944.835026,5.495648290961981,5491.945333080366,4.521596336831873,0.33337971921501175,1.4327211479115922,1.276940639696214,0.8995913248460626,1.554278,10.15,12.78,25.76,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,4,1757752950.3297548,5.494709125021473,5490.732082980685,3.024753067315314,0.2939656774111276,2.0366535544691127,1.5563793843454623,1.0734692113400501,1.462721,8.73,14.95,31.42,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,5,1757752955.823585,5.493800667114556,5485.429791966453,3.6518650989106267,0.3300726417211157,2.626117297054215,2.44891172580403,2.16322816170892,1.999024,4.45,5.1,6.64,0.9999999999998392,1,1.494337082700114,0.9999999999993308,interaction,,,,,,
SAC,833,6,1757752961.543872,5.720251584076323,5628.814916941337,3.610663140845835,0.20385406951297952,2.7788331647413367,2.2945040096346085,2.0783059104218022,1.391592,2.24,2.71,3.04,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,7,1757752967.072573,5.528673165943474,5495.239833020605,4.9694910931067025,0.2707880698800778,1.7397283674219257,1.3385374567897097,1.0126660065822397,1.970766,3.77,6.27,11.1,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,833,8,1757752972.5923378,5.519744417048059,5489.476624992676,3.389937821060375,0.20085716608555804,1.1916414869939016,0.9634270734500864,0.6518003379092787,1.597576,9.48,14.5,31.68,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,833,9,1757752978.0876071,5.495246707927436,5462.383584002964,3.102028721882788,0.2000000059340688,1.2100142315126639,0.7100160090645637,0.500265686844346,1.457434,10.88,31.61,63.62,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,833,10,1757752983.574847,5.4872184159467,5456.871291040443,3.0013465962610066,0.20002310869310896,2.7102502407342848,2.3084948459093133,2.153779835188364,2.247492,2.71,3.32,3.7,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,833,11,1757752989.073725,5.498846583999693,5469.150208984502,3.253317721725673,0.22736795896993073,1.5109380789844022,1.0384632752080871,0.6021246673501263,1.498987,8.2,17.37,51.61,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,833,12,1757752994.568334,5.494584708940238,5464.577957987785,3.022430840733482,0.2000000000572786,0.8941583713130993,0.7941583712141005,0.500000990129764,1.408565,21.0,26.62,67.08,0.379878869473896,2,0.0,0.0,interaction,,,,,,
SAC,833,13,1757753000.074523,5.506169250002131,5473.624042002484,3.0071417953298223,0.39999992402754997,0.7454799810252113,0.6454799728379905,0.5000051361914097,1.10155,122.02,162.71,251.37,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,14,1757753005.570324,5.495778999989852,5467.826374922879,3.000000000000178,0.20000000000000043,0.7000003157461812,0.6000003152200568,0.5000002916512105,1.349625,34.77,47.3,68.09,0.9999999999999399,1,3.999999999996534,0.99999999999975,interaction,,,,,,
SAC,833,15,1757753011.079545,5.509176667081192,5471.56808397267,3.0004917742309365,0.3829508275452377,0.7042818701313008,0.6042817090036491,0.5006246552550787,1.112978,125.87,170.56,235.73,1.0,1,inf,1.0,interaction,,,,,,
SAC,833,16,1757753016.72806,5.6484917079797015,5540.743582998402,3.000000000000128,0.20000294328673396,0.8798526168293319,0.6000021271324376,0.5000021191975068,1.378955,22.02,47.3,68.09,0.9485044497499381,1,1.770464333681312,0.785651575103719,interaction,788.21171378741,23.934349151131993,1.0000471713081065,71.94108294788748,663.1025057627687,913.3209218120512
SAC,833,17,1757753022.2708669,5.5427875419845805,5474.2467909818515,3.000392571856685,0.39999999910465567,0.72494517120176,0.6249315968748564,0.5193964927790728,1.108942,129.63,173.8,238.2,1.0,1,inf,1.0,interaction,924.5873952013451,26.72010794954984,1.0000944081584549,41.59270797390491,817.4879723001443,1031.6868181025459
SAC,833,18,1757753027.803092,5.5322064579231665,5462.1208750177175,3.0000000000040057,0.20000000528396122,1.099962373797851,0.6000105824198719,0.5000101188876005,1.409381,14.08,47.3,68.08,0.379878869473896,2,0.0,0.0,interaction,683.4371489558741,32.17615302346197,1.0001417421415153,42.17145801521838,570.9592427001297,795.9150552116187
