algo,seed,evaluation,timestamp,t_env_ms,wall_time_s,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,cycle,select_mode,y_pred,y_pred_std
AL,448,1,1757891034.8111548,5516.234583104961,5.520167249953374,4.5,0.4,1.4500000000000002,1.225,0.75,1.3809,14.41,20.19,53.81,1.0,1,inf,1.0,init,0,random,,
AL,448,2,1757891040.377434,5562.384375021793,5.566185417002998,4.75,0.2,1.8250000000000002,1.35,1.25,2.752706,2.54,3.74,4.28,1.0,1,inf,1.0,init,0,random,,
AL,448,3,1757891046.305111,5924.565667053685,5.927577041904442,3.0,0.2,2.325,2.1,1.625,2.196757,3.28,3.86,6.38,0.9999999999999745,1,3.9999999999991056,0.99999999999975,init,0,random,,
AL,448,4,1757891051.8278341,5521.464833989739,5.522645124932751,4.5,0.3,2.575,2.1,1.75,2.306405,2.86,3.86,5.44,0.9562593841668083,1,1.5027136983122846,0.5710314787905856,init,0,random,,
AL,448,5,1757891057.353293,5522.709666984156,5.5253860839875415,5.0,0.3,1.4500000000000002,1.35,0.875,1.747667,6.5,7.56,18.03,0.9999999999999707,1,3.482696636033266,0.9999999999997128,init,0,random,,
AL,448,6,1757891062.895406,5540.774291031994,5.542049582931213,4.0,0.3,1.3250000000000002,1.1,1.0,1.538864,12.28,17.83,21.57,0.9999999999999579,1,2.4239181630523152,0.9999999999995874,init,0,random,,
AL,448,7,1757891068.4630568,5564.167041913606,5.567581042065285,5.0,0.4,1.2000000000000002,1.1,1.0,1.475787,17.04,20.28,24.54,1.0,1,inf,1.0,init,0,random,,
AL,448,8,1757891074.033192,5567.556541995145,5.570064416970126,4.5,0.4,1.9500000000000002,1.85,1.375,1.615184,7.96,8.85,16.02,0.9999999999999275,1,1.406960955135586,0.9999999999992892,init,0,random,,
AL,448,9,1757891079.5597298,5524.252541945316,5.526490290998481,4.75,0.2,0.95,0.85,0.625,2.035119,7.52,9.4,17.4,0.9755730666962033,1,1.011568723376179,0.7604426627880397,init,0,random,,
AL,448,10,1757891085.085265,5522.07308402285,5.525461915996857,4.5,0.4,2.075,1.6,1.25,1.579361,7.0,11.83,19.39,0.9618555536508373,1,0.7071248704499351,0.6259136632837341,init,0,random,,
